crashid,cartodbid,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,socrata_id,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
488,2699221,,174       JAVA STREET,2019-11-01 18:00:00+00,40.73169,-73.95362,Brooklyn,11222,4236047,0,0,0,0,1,0,1,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
489,2699231,ENGLEWOOD AVENUE,,2019-11-01 14:10:00+00,40.532036,-74.2222,Staten Island,,4235722,0,0,1,0,0,0,1,0,"Traffic Control Disregarded,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
490,2699323,253 STREET,,2019-11-26 08:10:00+00,40.653015,-73.73686,Queens,11422,4248054,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
491,2699325,LAURELTON PARKWAY,,2019-11-26 08:00:00+00,40.67546,-73.73385,Queens,11422,4248086,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
492,2699326,BUSHWICK AVENUE,,2019-11-26 09:55:00+00,40.69564,-73.929245,Brooklyn,,4247867,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Sedan"
493,2699337,COLLEGE POINT BOULEVARD,,2019-11-26 16:30:00+00,40.746204,-73.835075,Queens,,4248342,0,0,1,0,0,0,1,0,"Unsafe Lane Changing,Unsafe Lane Changing","Sedan,Pick-up Truck"
494,2699338,CROSS ISLAND PARKWAY,,2019-11-26 12:40:00+00,40.7549,-73.74548,Queens,,4247860,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle"
495,2699353,DYRE AVENUE,,2019-11-26 07:04:00+00,40.88919,-73.83131,Bronx,10466,4248012,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
496,2699368,JEROME AVENUE,,2019-11-26 19:55:00+00,40.852642,-73.908424,Bronx,10453,4248319,0,0,1,0,1,0,2,0,Unspecified,Station Wagon/Sport Utility Vehicle
497,2699370,71 AVENUE,,2019-11-26 08:25:00+00,40.71944,-73.84526,Queens,11375,4247827,0,0,2,0,0,0,2,0,"Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
498,2699379,150 STREET,,2019-11-26 18:33:00+00,40.726593,-73.81684,Queens,11367,4248050,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
499,2699389,EAST 135 STREET,,2019-11-26 10:43:00+00,40.812744,-73.937645,Manhattan,10037,4247949,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Pick-up Truck"
500,2699384,WEBSTER AVENUE,,2019-11-26 23:15:00+00,40.845642,-73.90211,Bronx,10457,4248384,0,0,1,0,0,0,1,0,"Following Too Closely,Following Too Closely,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
501,2699377,BUSHWICK AVENUE,,2019-11-26 16:11:00+00,40.693314,-73.92496,Brooklyn,,4248235,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Motorcycle"
502,2699394,BROADWAY,,2019-11-26 10:20:00+00,40.719936,-74.001434,Manhattan,,4248472,1,0,0,0,0,0,1,0,"Passenger Distraction,Unspecified","Sedan,Bike"
503,2699418,BOSTON ROAD,,2019-11-26 17:32:00+00,,,,,4248261,0,0,1,0,0,0,1,0,"Other Vehicular,Other Vehicular","Sedan,Sedan"
504,2699423,21 AVENUE,,2019-11-26 13:30:00+00,40.772655,-73.90096,Queens,,4248502,1,0,0,0,0,0,1,0,"Unsafe Speed,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
505,2699414,SCHENCK AVENUE,,2019-11-26 16:00:00+00,40.65978,-73.88292,Brooklyn,11207,4247977,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
506,2699405,WOODHAVEN BOULEVARD,,2019-11-26 09:30:00+00,40.729244,-73.87144,Queens,,4247891,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
507,2699428,,1116      GRANT AVENUE,2019-11-26 14:46:00+00,40.83143,-73.916245,Bronx,10456,4248117,1,0,0,0,0,0,1,0,"Unsafe Lane Changing,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
508,2699429,,2800      VICTORY BOULEVARD,2019-11-26 21:05:00+00,40.608852,-74.15334,Staten Island,,4248674,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified",Sedan
509,2699430,LIVINGSTON STREET,,2019-11-26 19:30:00+00,40.68963,-73.98575,Brooklyn,,4248209,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,
510,2699432,,1752      CROSBY AVENUE,2019-11-26 16:40:00+00,40.846195,-73.831726,Bronx,10461,4248251,0,0,0,0,1,0,1,0,Unspecified,Sedan
511,2699436,WEST 139 STREET,,2019-11-26 18:15:00+00,40.817844,-73.94185,Manhattan,,4248876,0,0,1,0,0,0,1,0,"Reaction to Uninvolved Vehicle,Following Too Closely","Motorcycle,Station Wagon/Sport Utility Vehicle"
512,2699427,97 AVENUE,,2019-11-26 10:50:00+00,40.68572,-73.84762,Queens,11416,4248244,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
513,2699454,EDGERTON BOULEVARD,,2019-11-26 08:10:00+00,40.717834,-73.787766,Queens,11432,4248024,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
514,2699455,BRUCKNER EXPRESSWAY,,2019-11-26 13:39:00+00,40.80582,-73.90926,Bronx,,4248812,0,0,7,0,0,0,7,0,"Following Too Closely,Following Too Closely,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan"
515,2699467,8 AVENUE,,2019-11-26 19:55:00+00,40.820293,-73.94378,Manhattan,,4248861,0,0,3,0,0,0,3,0,"Tire Failure/Inadequate,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
516,2699468,91 STREET,,2019-11-26 07:35:00+00,40.68498,-73.85026,Queens,11416,4248315,0,0,1,0,0,0,1,0,"Unsafe Speed,Failure to Yield Right-of-Way","Sedan,Sedan"
517,2699489,115 AVENUE,,2019-11-26 17:20:00+00,40.68029,-73.80807,Queens,11420,4248080,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
518,2699478,GRAND CENTRAL PKWY,,2019-11-26 14:30:00+00,40.725975,-73.7575,Queens,,4248063,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified",Sedan
519,2699503,s conduit,,2019-11-26 08:30:00+00,,,,,4247998,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
520,2699509,CROSS ISLAND PARKWAY,,2019-11-26 09:30:00+00,40.78628,-73.80598,Queens,,4248328,0,0,1,0,0,0,1,0,"Reaction to Uninvolved Vehicle,Following Too Closely","Sedan,Station Wagon/Sport Utility Vehicle"
521,2699502,,1182      FLUSHING AVENUE,2019-11-26 19:10:00+00,40.706837,-73.9248,Brooklyn,11237,4248202,0,0,2,0,0,0,2,0,"Steering Failure,Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Sedan"
522,2699506,PINE STREET,,2019-11-26 15:15:00+00,40.68518,-73.873665,Brooklyn,11208,4247989,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Sedan"
523,2699497,,2049      FLATBUSH AVENUE,2019-11-26 14:55:00+00,40.6199,-73.93392,Brooklyn,11234,4248445,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,E-Sco
524,2699533,CROSS BRONX EXPY,,2019-11-26 13:00:00+00,40.84519,-73.9112,Bronx,,4248193,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Pick-up Truck,Sedan"
525,2699530,WEST KINGSBRIDGE ROAD,,2019-11-26 06:55:00+00,40.868015,-73.89997,Bronx,10468,4247720,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
526,2699546,PROSPECT EXPRESSWAY RAMP,,2019-11-26 15:20:00+00,,,,,4248165,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Sedan"
527,2699560,BELT PARKWAY,,2019-11-26 12:10:00+00,40.64511,-73.874886,Brooklyn,,4248164,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Pick-up Truck,Station Wagon/Sport Utility Vehicle"
528,2699562,WEST 49 STREET,,2019-11-26 10:25:00+00,40.76286,-73.98941,Manhattan,10019,4249093,0,0,0,0,1,0,1,0,Unspecified,Bus
529,2699547,BROOKLYN QUEENS EXPRESSWAY,,2019-11-26 13:30:00+00,40.703724,-73.95979,Brooklyn,,4248173,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
530,2699585,,124       LOUISIANA AVENUE,2019-11-26 16:00:00+00,40.656372,-73.89441,Brooklyn,11207,4248001,0,0,1,0,0,0,1,0,Unspecified,Sedan
531,2699577,EAST FORDHAM ROAD,,2019-11-26 14:22:00+00,40.85885,-73.885956,Bronx,10458,4248370,0,0,2,0,0,0,2,0,"Turning Improperly,Driver Inattention/Distraction","Sedan,Bus"
532,2699595,BELT PARKWAY,,2019-11-26 00:00:00+00,,,,,4248079,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,4 dr sedan"
533,2699612,,1707      KINGS HIGHWAY,2019-11-26 23:17:00+00,40.609623,-73.95634,Brooklyn,11229,4248226,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
534,2699593,CROSS BRONX EXPY,,2019-11-26 20:40:00+00,40.83045,-73.8509,Bronx,,4248200,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified","Sedan,Sedan"
535,2699594,BANCROFT AVENUE,,2019-11-26 06:30:00+00,40.576412,-74.10966,Staten Island,10306,4248118,0,0,2,0,0,0,2,0,"Reaction to Uninvolved Vehicle,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
536,2699619,155 STREET,,2019-11-26 14:36:00+00,40.761375,-73.81045,Queens,11355,4248348,1,0,0,0,0,0,1,0,"Following Too Closely,Unspecified",Bike
537,2699625,MACOMBS PLACE,,2019-11-26 10:19:00+00,40.827198,-73.93668,Manhattan,10039,4248883,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Pick-up Truck"
538,2699616,VAN WYCK EXPWY,,2019-11-26 06:30:00+00,40.70313,-73.816795,Queens,,4247838,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
539,2699657,CLEARVIEW EXPRESSWAY,,2019-11-26 08:30:00+00,,,,,4247915,0,0,1,0,0,0,1,0,"Traffic Control Disregarded,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
540,2699653,92 AVENUE,,2019-11-26 13:00:00+00,40.725056,-73.73839,Queens,11428,4248081,0,0,1,0,0,0,1,0,"Illnes,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
541,2699654,BRONX RIVER PARKWAY,,2019-11-26 00:00:00+00,40.866577,-73.8722,Bronx,,4247690,0,0,1,0,0,0,1,0,"Outside Car Distraction,Unsafe Speed",Sedan
542,2699655,CRESCENT STREET,,2019-11-26 14:25:00+00,40.763416,-73.92844,Queens,11106,4248510,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
543,2699647,135 STREET,,2019-11-26 13:00:00+00,40.691628,-73.811874,Queens,11419,4248294,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Box Truck
544,2699674,BELT PARKWAY,,2019-11-26 18:43:00+00,40.596123,-74.00068,Brooklyn,,4248103,0,0,1,0,0,0,1,0,"Following Too Closely,Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan"
545,2699667,PITKIN AVENUE,,2019-11-26 11:29:00+00,40.67611,-73.86726,Brooklyn,11208,4247992,0,0,2,0,0,0,2,0,"Unspecified,Unspecified","Taxi,Station Wagon/Sport Utility Vehicle"
546,2699688,,215       WEST 230 STREET,2019-11-26 15:45:00+00,40.877064,-73.906944,Bronx,10463,4248455,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
547,2699687,,1695      EASTCHESTER ROAD,2019-11-26 08:40:00+00,40.846127,-73.84471,Bronx,10461,4248218,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
548,2699697,NEGUNDO AVENUE,,2019-11-26 12:10:00+00,40.748257,-73.81655,Queens,11355,4248346,0,0,1,0,0,0,1,0,"Passing Too Closely,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Taxi,Station Wagon/Sport Utility Vehicle"
549,2699712,BELT PARKWAY,,2019-11-26 02:53:00+00,,,,,4247565,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
550,2699709,WEST 238 STREET,,2019-11-26 13:30:00+00,40.884575,-73.89889,Bronx,10463,4248449,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
551,2699727,ALBANY AVENUE,,2019-11-26 12:17:00+00,40.66223,-73.93997,Brooklyn,,4248124,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Box Truck"
552,2699728,83 STREET,,2019-11-26 09:11:00+00,40.62569,-74.03016,Brooklyn,11209,4247862,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
553,2699725,LENOX AVENUE,,2019-11-26 17:48:00+00,40.818516,-73.93765,Manhattan,10037,4248845,0,0,1,0,0,0,1,0,"Traffic Control Disregarded,Unspecified","Taxi,Sedan"
554,2699749,,9016      DITMAS AVENUE,2019-11-26 18:00:00+00,40.648228,-73.91453,Brooklyn,11236,4248611,0,0,1,0,0,0,1,0,"Other Vehicular,Traffic Control Device Improper/Non-Working,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
555,2699740,,951       BAY STREET,2019-11-26 20:34:00+00,40.61927,-74.06998,Staten Island,10305,4248314,0,0,1,0,0,0,1,0,"Backing Unsafely,Unspecified","Sedan,Sedan"
556,2699733,EAST 19 STREET,,2019-11-26 11:40:00+00,40.608673,-73.9544,Brooklyn,11229,4248564,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
557,2699734,19 STREET,,2019-11-26 09:30:00+00,40.659817,-73.98785,Brooklyn,11215,4248139,0,0,0,0,1,0,1,0,,
558,2699757,BELT PARKWAY,,2019-11-26 22:20:00+00,,,,,4248527,0,0,1,0,0,0,1,0,"Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle"
559,2699758,HARLEM RIVER DRIVE,,2019-11-26 13:20:00+00,40.808784,-73.93479,Manhattan,,4248195,0,0,3,0,0,0,3,0,Unspecified,Station Wagon/Sport Utility Vehicle
560,2699756,BREWER BOULEVARD,,2019-11-26 12:50:00+00,40.69142,-73.7875,Queens,,4248532,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
561,2699788,LAFAYETTE AVENUE,,2019-11-26 10:00:00+00,,,,,4248429,0,0,3,0,0,0,3,0,"Unspecified,Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle"
562,2699801,GRAND CENTRAL PKWY,,2019-11-26 10:39:00+00,,,,,4247842,0,0,2,0,0,0,2,0,Unsafe Speed,Sedan
563,2699780,UNION TURNPIKE,,2019-11-26 20:20:00+00,40.71906,-73.812126,Queens,,4248542,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
564,2699782,EAST 6 STREET,,2019-11-26 06:30:00+00,40.586918,-73.96387,Brooklyn,11235,4248252,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
565,2699792,156 STREET,,2019-11-26 10:54:00+00,40.75421,-73.810486,Queens,11355,4248331,0,0,0,0,1,0,1,0,Unspecified,Bus
566,2699785,LONG ISLAND EXPRESSWAY,,2019-11-26 08:00:00+00,40.73783,-73.9357,Queens,,4247841,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
567,2699805,155 AVENUE,,2019-11-26 09:52:00+00,,,,,4247782,0,0,3,0,0,0,3,0,"Following Too Closely,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle"
568,2699820,EAST 116 STREET,,2019-11-26 16:37:00+00,40.799984,-73.944855,Manhattan,10029,4247960,0,0,1,0,0,0,1,0,"Unsafe Lane Changing,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
569,2699829,KALVER PLACE,,2019-11-26 14:45:00+00,40.632717,-74.14643,Staten Island,,4248671,0,0,1,0,0,0,1,0,"Passing or Lane Usage Improper,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
570,2699830,BRUCKNER BOULEVARD,,2019-11-26 22:04:00+00,40.804344,-73.92158,Bronx,10454,4248277,0,0,0,0,1,0,1,0,Unspecified,
571,2699834,SUTPHIN BOULEVARD,,2019-11-26 19:00:00+00,40.681145,-73.7923,Queens,11434,4248099,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified,Unspecified","Sedan,Sedan,Sedan"
572,2699835,EAST 171 STREET,,2019-11-26 07:40:00+00,40.838264,-73.905235,Bronx,10457,4247820,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
573,2699837,72 STREET,,2019-11-26 13:34:00+00,40.631687,-74.02174,Brooklyn,11209,4248761,0,0,1,0,0,0,1,0,"Unspecified,Unspecified,Unspecified","Sedan,Sedan,Sedan"
574,2699855,6 AVENUE,,2019-11-26 17:00:00+00,40.63757,-74.01457,Brooklyn,11220,4248137,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
575,2699866,GRAND CENTRAL PKWY,,2019-11-26 07:30:00+00,40.72545,-73.837776,Queens,,4247913,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
576,2699858,WOODHAVEN BOULEVARD,,2019-11-26 08:50:00+00,40.694782,-73.85258,Queens,11421,4247748,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
577,2699869,RICHMOND AVENUE,,2019-11-26 16:28:00+00,40.57397,-74.16992,Staten Island,,4248490,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
578,2699875,QUEENSBORO BRIDGE,,2019-11-26 20:00:00+00,,,,,4248167,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
579,2699878,THROGS NECK EXPY,,2019-11-26 18:10:00+00,,,,,4248255,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
580,2699880,GOWANUS RAMP,,2019-11-26 11:10:00+00,,,,,4248133,0,0,3,0,0,0,3,0,"Following Too Closely,Unspecified","Van,Sedan"
581,2699888,EAST 72 STREET,,2019-11-25 09:00:00+00,40.767803,-73.95601,Manhattan,10021,4247330,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Motorcycle"
582,2699874,ARCHER AVENUE,,2019-11-26 13:30:00+00,40.70197,-73.8019,Queens,11433,4247964,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
583,2699886,ALLERTON AVENUE,,2019-11-25 08:47:00+00,40.86536,-73.87043,Bronx,10467,4248191,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
584,2699903,GRAND CENTRAL PKWY,,2019-11-25 06:38:00+00,40.749336,-73.85015,Queens,,4247834,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Sedan"
585,2699905,WOODHAVEN BOULEVARD,,2019-11-25 17:42:00+00,40.68594,-73.84686,Queens,,4247613,0,0,1,0,0,0,1,0,"Passing or Lane Usage Improper,Unspecified",Bus
586,2699933,77 STREET,,2019-11-25 08:30:00+00,40.68768,-73.86382,Queens,11421,4247629,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
587,2699936,,118-04    JAMAICA AVENUE,2019-11-25 16:45:00+00,40.699802,-73.83166,Queens,11418,4247618,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
588,2699928,BEDFORD AVENUE,,2019-11-25 11:52:00+00,40.672752,-73.95432,Brooklyn,11216,4247418,1,0,0,0,0,0,1,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Traffic Control Disregarded","Sedan,Bike"
589,2699967,BELT PARKWAY,,2019-11-25 00:00:00+00,,,,,4247787,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified",Sedan
590,2699960,,111       LIVINGSTON STREET,2019-11-25 17:25:00+00,40.69112,-73.98973,Brooklyn,11201,4247672,0,0,0,0,1,0,1,0,Unspecified,Sedan
591,2699946,METROPOLITAN AVENUE,,2019-11-25 17:00:00+00,40.70969,-73.84603,Queens,11375,4247512,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
592,2699980,QUEENSBORO BRIDGE UPPER,,2019-11-25 23:45:00+00,,,,,4247669,0,0,3,0,0,0,3,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Sedan"
593,2699969,65 PLACE,,2019-11-25 06:18:00+00,40.746048,-73.89903,Queens,11377,4247668,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
594,2699987,EAST 36 STREET,,2019-11-25 17:35:00+00,40.62262,-73.94028,Brooklyn,11210,4247714,0,0,0,0,1,0,1,0,,Sedan
595,2700000,BROOKLYN QUEENS EXPY (CDR),,2019-11-25 06:05:00+00,,,,,4249028,0,0,2,0,0,0,2,0,"Unsafe Speed,Unspecified","Dump,Taxi"
596,2700009,BEACH 117 STREET,,2019-11-25 14:11:00+00,40.57747,-73.83693,Queens,11694,4247434,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Bike
597,2699995,CLINTONVILLE STREET,,2019-11-25 12:56:00+00,40.788525,-73.81117,Queens,,4247605,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Sedan"
598,2700024,162 STREET,,2019-11-25 17:30:00+00,40.753765,-73.80489,Queens,,4247599,0,0,0,0,1,0,1,0,Unspecified,Sedan
599,2700039,65 STREET,,2019-11-25 18:20:00+00,40.73846,-73.90085,Queens,,4247482,0,0,1,0,0,0,1,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
600,2700048,5 AVENUE,,2019-11-25 15:50:00+00,40.76428,-73.97302,Manhattan,10019,4247659,1,0,0,0,0,0,1,0,"Other Vehicular,Other Vehicular","Concrete Mixer,Bike"
601,2700069,97 AVENUE,,2019-11-25 14:00:00+00,40.68868,-73.837234,Queens,,4247625,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Taxi,Station Wagon/Sport Utility Vehicle"
602,2700079,UNIVERSITY AVENUE,,2019-11-25 05:48:00+00,40.85004,-73.91606,Bronx,,4246946,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
603,2700088,3 AVENUE,,2019-11-25 17:15:00+00,40.63932,-74.02356,Brooklyn,,4247469,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Sedan,Sedan"
604,2700100,,28        BAY 23 STREET,2019-11-25 15:30:00+00,40.604397,-73.9997,Brooklyn,11214,4248026,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
605,2700093,EAST 169 STREET,,2019-11-25 01:43:00+00,40.837154,-73.917854,Bronx,,4248114,0,0,1,0,0,0,1,0,Unspecified,"Sedan,Taxi"
606,2700103,EAST 29 STREET,,2019-11-25 23:49:00+00,40.636208,-73.94899,Brooklyn,11210,4247731,0,0,4,0,0,0,4,0,"Brakes Defective,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
607,2700094,,2301      OCEAN AVENUE,2019-11-25 09:46:00+00,40.605434,-73.95255,Brooklyn,11229,4247281,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
608,2700130,ALBANY STREET,,2019-11-25 14:35:00+00,40.70983,-74.01468,Manhattan,,4248981,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
609,2700122,,119       WEST 23 STREET,2019-11-25 11:20:00+00,40.74324,-73.9936,Manhattan,10011,4248970,0,0,1,0,0,0,1,0,"Backing Unsafely,Driver Inattention/Distraction","Pick-up Truck,Motorcycle"
610,2700132,HENRY HUDSON PARKWAY,,2019-11-25 07:03:00+00,40.90207,-73.88714,Bronx,,4247875,0,0,2,0,0,0,2,0,Reaction to Uninvolved Vehicle,Sedan
611,2700127,RICHMOND AVENUE,,2019-11-25 00:00:00+00,40.561077,-74.16984,Staten Island,10312,4247570,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
612,2700145,EAST BEDFORD PARK BOULEVARD,,2019-11-25 20:20:00+00,,,,,4247689,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Motorcycle,Station Wagon/Sport Utility Vehicle"
613,2700139,EAST 23 STREET,,2019-11-25 04:30:00+00,40.737885,-73.98091,Manhattan,10010,4248476,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Sedan"
614,2700150,EAST 57 STREET,,2019-11-25 13:55:00+00,40.759308,-73.9653,Manhattan,10022,4247420,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
615,2700142,GARDEN STREET,,2019-11-25 22:10:00+00,40.849075,-73.88289,Bronx,10460,4247809,0,0,2,0,0,0,2,0,"Other Vehicular,Other Vehicular","Sedan,Sedan"
616,2700143,,2426      UNIVERSITY AVENUE,2019-11-25 13:44:00+00,40.863476,-73.90447,Bronx,10468,4247369,0,0,2,0,0,0,2,0,"Turning Improperly,Unspecified","Taxi,Sedan"
617,2700146,RICHMOND ROAD,,2019-11-25 09:00:00+00,40.57253,-74.14024,Staten Island,10306,4247431,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Motorcycle"
