crashid,cartodbid,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,socrata_id,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
1995,2709548,TOMPKINS AVENUE,,2019-11-08 00:00:00+00,40.624603,-74.079605,Staten Island,10304,4238895,0,0,2,0,0,0,2,0,"Traffic Control Disregarded,Unspecified","Taxi,Sedan"
1996,2709545,LINDEN BOULEVARD,,2019-11-08 14:40:00+00,40.691948,-73.730675,Queens,11411,4237828,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
1997,2709556,11 STREET,,2019-11-08 13:00:00+00,40.744335,-73.951004,Queens,11101,4237776,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
1998,2709588,149 STREET,,2019-11-08 08:00:00+00,,,,,4237510,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
1999,2709585,,908       BEDFORD AVENUE,2019-11-08 21:49:00+00,40.693703,-73.955986,Brooklyn,11205,4238767,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Taxi"
2000,2709577,EAST 61 STREET,,2019-11-08 23:39:00+00,40.761856,-73.96343,Manhattan,10065,4238660,0,0,1,0,0,0,1,0,"Illnes,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
2001,2709623,ORCHARD BEACH ROAD,,2019-11-08 15:52:00+00,,,,,4238680,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
2002,2709630,SOUTHERN BOULEVARD,,2019-11-08 07:10:00+00,,,,,4237387,1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Bike"
2003,2709612,90 STREET,,2019-11-08 15:35:00+00,40.738117,-73.87357,Queens,11373,4238721,0,0,1,0,0,0,1,0,"Illnes,Unspecified,Unspecified,Unspecified","Convertible,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
2004,2709625,,14-99     BEACH CHANNEL DRIVE,2019-11-08 04:45:00+00,40.61037,-73.75352,Queens,11691,4237965,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan"
2005,2709632,WILLIAMSBURG BRIDGE OUTER ROADWA,,2019-11-08 17:00:00+00,,,,,4245951,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified",Station Wagon/Sport Utility Vehicle
2006,2709640,BAISLEY BOULEVARD,,2019-11-08 14:00:00+00,40.678364,-73.77949,Queens,11434,4238522,0,0,2,0,0,0,2,0,"Unspecified,Unspecified","Sedan,Sedan"
2007,2709634,EAST 69 STREET,,2019-11-08 13:19:00+00,40.768486,-73.96362,Manhattan,,4238651,0,0,0,0,1,0,1,0,Glare,Station Wagon/Sport Utility Vehicle
2008,2709636,CONCOURSE VILLAGE EAST,,2019-11-08 23:30:00+00,40.82386,-73.91941,Bronx,10451,4239201,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Taxi"
2009,2709670,UTICA AVENUE,,2019-11-08 14:20:00+00,40.663227,-73.93159,Brooklyn,,4238417,0,0,0,0,1,0,1,0,Unspecified,Pick-up Truck
2010,2709663,,197-24    HILLSIDE AVENUE,2019-11-08 23:00:00+00,40.71855,-73.765045,Queens,11423,4239332,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
2011,2709667,EAST 63 STREET,,2019-11-08 15:28:00+00,40.761173,-73.95789,Manhattan,10065,4238653,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
2012,2709682,GOULDEN AVENUE,,2019-11-08 07:20:00+00,,,,,4237715,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
2013,2709683,BROOKLYN QUEENS EXPRESSWAY,,2019-11-08 15:00:00+00,40.740078,-73.89969,Queens,,4237880,0,0,1,0,0,0,1,0,"Reaction to Uninvolved Vehicle,Driver Inattention/Distraction,Unspecified","Sedan,Tractor Truck Diesel,Garbage or Refuse"
2014,2709684,69 STREET,,2019-11-08 23:15:00+00,40.728966,-73.89559,Queens,11378,4238198,0,0,3,0,0,0,3,0,"Alcohol Involvement,Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan"
2015,2709695,,345       MARTENSE STREET,2019-11-08 16:10:00+00,40.651817,-73.9475,Brooklyn,11226,4238419,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
2016,2709710,MANHATTAN AVENUE,,2019-11-08 15:10:00+00,40.72377,-73.9508,Brooklyn,,4239032,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Box Truck,Taxi"
